emd_nm,msfrtn_resc_reprt_no
가락동,59
가리봉동,19
가산동,84
가양동,54
갈월동,5
갈현동,18
강일동,28
개봉동,60
개포동,40
거여동,38
경운동,6
계동,2
고덕동,17
고척동,59
공덕동,39
공릉동,61
공평동,5
공항동,7
과해동,2
관철동,7
관훈동,8
광장동,28
광희동1가,4
구기동,2
구로동,136
구산동,13
구의동,44
군자동,11
궁동,8
금호동1가,7
금호동2가,1
금호동3가,6
금호동4가,13
길동,49
길음동,17
낙원동,10
남가좌동,15
남대문로2가,1
남대문로3가,1
남대문로4가,2
남대문로5가,6
남산동1가,1
남산동2가,1
남영동,1
남현동,26
내곡동,2
내발산동,30
내수동,3
냉천동,3
노고산동,15
노량진동,26
녹번동,17
논현동,91
누상동,1
능동,4
다동,5
답십리동,55
당산동,23
당산동1가,5
당산동2가,15
당산동3가,17
당산동4가,19
당산동5가,26
당산동6가,7
당인동,2
당주동,2
대림동,33
대방동,25
대신동,4
대조동,19
대치동,79
대현동,11
대흥동,13
도곡동,68
도림동,10
도봉동,26
도선동,7
도원동,4
도화동,19
독산동,81
돈암동,16
돈의동,1
동교동,21
동빙고동,4
동선동1가,14
동선동4가,2
동선동5가,3
동소문동3가,6
동소문동4가,2
동소문동5가,2
동숭동,4
동자동,3
동작동,10
둔촌동,50
등촌동,90
마곡동,74
마장동,14
마천동,32
마포동,7
만리동1가,2
만리동2가,5
망우동,28
망원동,24
면목동,77
명동1가,1
명동2가,9
명륜1가,9
명륜2가,1
명륜3가,4
명륜4가,4
명일동,35
목동,158
묘동,1
무교동,4
무악동,3
무학동,2
묵동,17
묵정동,1
문래동1가,6
문래동3가,25
문래동4가,3
문래동5가,12
문래동6가,21
문배동,7
문정동,49
미근동,3
미아동,72
반포동,71
방배동,83
방이동,61
방학동,30
방화동,50
번동,33
보광동,5
보문동1가,1
보문동4가,2
보문동5가,1
보문동7가,3
본동,18
봉래동2가,1
봉천동,225
부암동,1
북가좌동,22
북아현동,12
북창동,1
불광동,51
사근동,10
사당동,67
사직동,2
산림동,2
산천동,1
삼선동1가,1
삼선동2가,2
삼선동3가,1
삼선동4가,3
삼선동5가,3
삼성동,78
삼전동,21
삼청동,4
상계동,124
상도1동,3
상도동,43
상봉동,56
상수동,6
상암동,49
상왕십리동,11
상월곡동,1
상일동,12
서계동,3
서교동,54
서빙고동,8
서소문동,4
서울특별시,9
서초동,166
석관동,10
석수동,1
석촌동,21
성내동,65
성북동,9
성북동1가,4
성산동,23
성수동1가,31
성수동2가,34
세곡동,21
세종로,2
소격동,1
소공동,2
송정동,3
송파동,38
수색동,17
수서동,16
수송동,4
수유동,63
수하동,2
순화동,1
숭인동,17
시흥동,88
신계동,3
신공덕동,14
신교동,4
신길동,57
신내동,43
신당동,59
신대방동,43
신도림동,54
신림동,185
신문로1가,1
신문로2가,1
신사동,78
신설동,9
신수동,14
신영동,16
신원동,6
신월동,107
신정동,137
신창동,3
신천동,29
신촌동,3
쌍림동,1
쌍문동,59
아현동,13
안암동1가,1
안암동2가,1
안암동5가,7
암사동,43
압구정동,40
양재동,41
양평동,7
양평동1가,2
양평동2가,11
양평동3가,23
양평동4가,13
양평동5가,15
양평동6가,5
양화동,3
여의도동,61
역삼동,163
역촌동,16
연건동,4
연남동,6
연지동,1
연희동,26
염곡동,2
염리동,9
염창동,35
영등포동,36
영등포동1가,10
영등포동2가,10
영등포동3가,10
영등포동4가,10
영등포동5가,2
영등포동6가,7
영등포동7가,4
영등포동8가,10
예관동,1
예장동,5
오금동,33
오류동,48
옥수동,17
온수동,13
와룡동,2
외발산동,3
용강동,6
용답동,11
용두동,17
용문동,2
용산동1가,5
용산동2가,6
용산동3가,3
용산동5가,5
용산동6가,11
우면동,30
우이동,7
원효로1가,6
원효로2가,2
원효로4가,4
월계동,51
율현동,3
을지로2가,4
을지로3가,2
을지로4가,2
을지로5가,1
을지로6가,2
을지로7가,1
응봉동,7
응암동,33
이문동,23
이촌동,21
이태원동,21
이화동,1
익선동,1
인사동,1
인의동,4
인현동1가,1
인현동2가,1
일원동,14
입정동,1
자곡동,37
자양동,60
잠실동,89
잠원동,37
장안동,56
장위동,16
장지동,25
장충동1가,2
장충동2가,1
저동1가,1
저동2가,3
적선동,1
전농동,46
정동,2
정릉동,58
제기동,25
종로1가,2
종로2가,1
종로4가,1
종로5가,2
종암동,31
주교동,1
주자동,1
중계동,97
중곡동,25
중동,5
중림동,4
중학동,1
중화동,36
증산동,12
진관동,27
창동,75
창신동,6
창전동,12
창천동,32
천연동,1
천왕동,16
천호동,96
청담동,65
청량리동,7
청운동,4
청진동,4
청파동1가,1
청파동2가,3
청파동3가,5
초동,1
충무로1가,2
충무로2가,3
충무로3가,1
충무로4가,6
충신동,1
충정로1가,2
충정로2가,4
충정로3가,8
태평로1가,4
태평로2가,1
통인동,1
평창동,16
풍납동,13
필동1가,3
필동2가,5
필동3가,2
필운동,4
하계동,32
하왕십리동,31
하월곡동,34
한강로1가,8
한강로2가,18
한강로3가,13
한남동,36
합동,3
합정동,14
항동,18
행당동,70
행촌동,1
현석동,3
현저동,3
혜화동,4
홍은동,38
홍익동,7
홍제동,34
화곡동,144
화양동,29
황학동,8
회기동,21
회현동1가,5
효제동,3
효창동,7
후암동,17
휘경동,33
흑석동,19
흥인동,7
